year,team,continuity,wins
1992-93,GSW,66%,34
1992-93,MIN,34%,19
1992-93,MIA,83%,36
1992-93,ATL,73%,43
1992-93,BOS,82%,48
1992-93,DET,66%,40
1992-93,NYK,60%,60
1992-93,DEN,66%,36
1992-93,DAL,63%,11
1992-93,OKC,88%,55
1992-93,POR,73%,51
1992-93,CHI,86%,57
1992-93,SAS,54%,49
1992-93,UTA,80%,47
1992-93,CLE,88%,54
1992-93,HOU,75%,55
1992-93,WAS,65%,22
1992-93,LAL,82%,39
1992-93,PHI,51%,26
1992-93,PHO,56%,62
1992-93,LAC,58%,41
1992-93,SAC,77%,25
1992-93,ORL,62%,41
1992-93,IND,77%,41
2007-08,MIL,60%,26
2007-08,GSW,91%,48
2007-08,MIN,36%,22
2007-08,MIA,52%,15
2007-08,ATL,76%,37
2007-08,BOS,50%,66
2007-08,DET,79%,59
2007-08,NYK,76%,23
2007-08,DEN,95%,50
2007-08,DAL,75%,51
2007-08,POR,74%,41
2007-08,OKC,56%,20
2007-08,TOR,71%,41
2007-08,CHI,76%,33
2007-08,SAS,87%,56
2007-08,UTA,88%,54
2007-08,CLE,78%,45
2007-08,HOU,76%,55
2007-08,PHO,76%,55
2007-08,WAS,89%,43
2007-08,LAL,78%,57
2007-08,PHI,75%,40
2007-08,MEM,63%,22
2007-08,LAC,63%,23
2007-08,SAC,67%,38
2007-08,ORL,69%,52
2007-08,IND,80%,36
1973-74,LAL,66%,47
1973-74,PHI,59%,25
1973-74,PHO,64%,30
1973-74,MIL,87%,59
1973-74,GSW,84%,44
1973-74,SAC,59%,33
1973-74,POR,66%,27
1973-74,CHI,96%,54
1973-74,ATL,79%,35
1973-74,BOS,98%,56
1973-74,DET,91%,52
1973-74,LAC,40%,42
1973-74,NYK,98%,49
1973-74,OKC,74%,36
1973-74,HOU,74%,32
1973-74,CLE,84%,29
1973-74,WAS,82%,47
1963-64,LAL,86%,42
1963-64,PHI,91%,34
1963-64,GSW,84%,48
1963-64,SAC,76%,55
1963-64,ATL,87%,46
1963-64,BOS,90%,59
1963-64,DET,77%,23
1963-64,NYK,45%,22
1963-64,WAS,53%,31
1961-62,LAL,97%,54
1961-62,PHI,82%,41
1961-62,GSW,80%,49
1961-62,SAC,84%,43
1961-62,ATL,73%,29
1961-62,BOS,94%,60
1961-62,DET,86%,37
1961-62,NYK,74%,29
1970-71,LAL,71%,48
1970-71,PHI,75%,47
1970-71,PHO,66%,48
1970-71,MIL,62%,66
1970-71,GSW,92%,41
1970-71,SAC,44%,33
1970-71,CHI,75%,51
1970-71,ATL,70%,36
1970-71,BOS,72%,44
1970-71,DET,82%,45
1970-71,NYK,93%,52
1970-71,OKC,56%,38
1970-71,HOU,61%,40
1970-71,WAS,86%,42
1983-84,MIL,80%,50
1983-84,GSW,80%,37
1983-84,ATL,78%,40
1983-84,BOS,85%,62
1983-84,DET,93%,49
1983-84,NYK,76%,47
1983-84,DEN,86%,38
1983-84,SAC,63%,38
1983-84,POR,92%,48
1983-84,CLE,62%,28
1983-84,SAS,68%,37
1983-84,UTA,86%,45
1983-84,CHI,71%,27
1983-84,HOU,42%,29
1983-84,WAS,76%,35
1983-84,LAL,82%,54
1983-84,PHI,88%,52
1983-84,PHO,81%,41
1983-84,LAC,42%,30
1983-84,DAL,85%,43
1983-84,OKC,54%,42
1983-84,IND,58%,26
2004-05,MIL,65%,30
2004-05,GSW,72%,34
2004-05,MIN,86%,44
2004-05,MIA,50%,59
2004-05,ATL,11%,13
2004-05,BOS,67%,45
2004-05,DET,81%,54
2004-05,NYK,66%,33
2004-05,DEN,64%,49
2004-05,DAL,51%,58
2004-05,POR,69%,27
2004-05,OKC,84%,52
2004-05,TOR,66%,33
2004-05,CLE,55%,42
2004-05,SAS,76%,59
2004-05,UTA,54%,26
2004-05,CHI,46%,47
2004-05,HOU,31%,51
2004-05,PHO,59%,62
2004-05,WAS,74%,45
2004-05,LAL,27%,34
2004-05,PHI,71%,43
2004-05,MEM,91%,45
2004-05,LAC,63%,37
2004-05,SAC,63%,50
2004-05,ORL,11%,36
2004-05,IND,75%,44
1952-53,LAL,84%,48
1952-53,PHI,83%,47
1952-53,GSW,56%,12
1952-53,SAC,78%,44
1952-53,ATL,27%,27
1952-53,BOS,95%,46
1952-53,DET,73%,36
1952-53,NYK,84%,47
2009-10,MIL,42%,46
2009-10,GSW,58%,26
2009-10,MIN,46%,15
2009-10,MIA,78%,47
2009-10,ATL,80%,53
2009-10,BOS,79%,50
2009-10,DET,48%,27
2009-10,NYK,78%,29
2009-10,DEN,76%,53
2009-10,DAL,63%,55
2009-10,POR,70%,50
2009-10,OKC,76%,50
2009-10,TOR,38%,40
2009-10,CHI,72%,41
2009-10,SAS,61%,50
2009-10,UTA,86%,53
2009-10,CLE,71%,61
2009-10,HOU,64%,42
2009-10,PHO,85%,54
2009-10,WAS,59%,26
2009-10,LAL,87%,57
2009-10,PHI,73%,27
2009-10,MEM,60%,40
2009-10,LAC,66%,29
2009-10,SAC,58%,25
2009-10,ORL,61%,59
2009-10,IND,64%,32
1981-82,MIL,84%,55
1981-82,GSW,83%,45
1981-82,ATL,73%,42
1981-82,BOS,95%,63
1981-82,DET,50%,39
1981-82,NYK,61%,33
1981-82,SAC,44%,30
1981-82,POR,79%,42
1981-82,CLE,35%,15
1981-82,SAS,64%,48
1981-82,UTA,85%,25
1981-82,CHI,89%,34
1981-82,HOU,84%,46
1981-82,WAS,48%,43
1981-82,LAL,83%,57
1981-82,PHI,94%,58
1981-82,PHO,89%,46
1981-82,LAC,56%,17
1981-82,DAL,34%,28
1981-82,OKC,70%,52
1981-82,IND,75%,35
1966-67,LAL,65%,36
1966-67,PHI,87%,68
1966-67,GSW,74%,44
1966-67,SAC,79%,39
1966-67,ATL,82%,39
1966-67,BOS,80%,60
1966-67,DET,74%,30
1966-67,NYK,84%,36
1966-67,WAS,65%,20
1954-55,LAL,89%,40
1954-55,PHI,68%,43
1954-55,GSW,68%,33
1954-55,SAC,78%,29
1954-55,ATL,47%,26
1954-55,BOS,65%,36
1954-55,DET,85%,43
1954-55,NYK,71%,38
1979-80,MIL,60%,49
1979-80,GSW,95%,24
1979-80,ATL,92%,50
1979-80,BOS,65%,61
1979-80,DET,41%,16
1979-80,NYK,61%,39
1979-80,DEN,63%,30
1979-80,SAC,76%,47
1979-80,POR,62%,38
1979-80,CLE,48%,37
1979-80,SAS,65%,41
1979-80,UTA,11%,24
1979-80,CHI,45%,30
1979-80,HOU,66%,41
1979-80,WAS,80%,39
1979-80,LAL,61%,60
1979-80,PHI,88%,59
1979-80,PHO,88%,55
1979-80,LAC,73%,35
1979-80,OKC,95%,56
1979-80,IND,56%,37
1988-89,MIL,87%,49
1988-89,GSW,71%,43
1988-89,ATL,68%,52
1988-89,BOS,74%,42
1988-89,DET,92%,63
1988-89,NYK,73%,52
1988-89,DEN,73%,44
1988-89,SAC,49%,27
1988-89,POR,82%,39
1988-89,CLE,90%,57
1988-89,SAS,43%,21
1988-89,UTA,83%,51
1988-89,CHI,77%,47
1988-89,HOU,48%,45
1988-89,WAS,79%,40
1988-89,LAL,89%,57
1988-89,PHI,60%,46
1988-89,PHO,69%,55
1988-89,LAC,57%,21
1988-89,DAL,82%,38
1988-89,OKC,78%,47
1988-89,IND,73%,28
1953-54,LAL,87%,46
1953-54,PHI,77%,42
1953-54,GSW,35%,29
1953-54,SAC,96%,44
1953-54,ATL,27%,21
1953-54,BOS,87%,42
1953-54,DET,42%,40
1953-54,NYK,81%,44
